"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.072216735E0,-3.879821897E-1,-8.545482159E-1,5.695505142E-1,1.097802633E0
1.077234183E0,-7.019121051E-1,-1.267793417E0,-5.790996552E-1,1.560556683E0
1.082251578E0,-1.019678235E0,-1.657061219E0,-1.804075241E0,2.653353173E0
1.087268974E0,-1.313372374E0,-1.968251705E0,-3.096068859E0,3.896742761E0
1.092286370E0,-1.593429446E0,-2.184807777E0,-4.508252144E0,5.257065704E0
1.097303766E0,-1.893729448E0,-2.261078119E0,-5.917028427E0,6.611347131E0
1.102321162E0,-2.209494114E0,-2.227735519E0,-7.232639313E0,7.883891248E0
1.107338558E0,-2.516626596E0,-2.148793936E0,-8.571254730E0,9.187879650E0
1.112355953E0,-2.781905174E0,-2.088438034E0,-9.699810982E0,1.030470295E1
1.117373349E0,-2.991193056E0,-2.077829361E0,-1.064846134E1,1.125408102E1
1.122390745E0,-3.096045017E0,-2.129183292E0,-1.135161591E1,1.195734502E1
1.127408141E0,-3.118993044E0,-2.216838121E0,-1.180579185E1,1.241044762E1
1.132425537E0,-3.014642954E0,-2.320425987E0,-1.197381878E1,1.256362945E1
1.137442933E0,-2.794412851E0,-2.429920673E0,-1.187563419E1,1.243961194E1
1.142460328E0,-2.436339140E0,-2.507071018E0,-1.166481876E1,1.217740327E1
1.147477724E0,-1.972726226E0,-2.590613127E0,-1.141796017E1,1.187319416E1
1.152495120E0,-1.460952640E0,-2.695633888E0,-1.104390430E1,1.146161625E1
1.157512516E0,-9.585769176E-1,-2.794425964E0,-1.057574558E1,1.098062297E1
1.162529912E0,-4.609108567E-1,-2.911798716E0,-1.010866737E1,1.052977524E1
1.167547308E0,-6.871873140E-2,-2.924162626E0,-9.622925758E0,1.005764135E1
1.172564703E0,2.551374435E-1,-2.789561272E0,-9.050803185E0,9.474375203E0
1.177582099E0,5.760468245E-1,-2.623849869E0,-8.396350861E0,8.815618291E0
1.182599495E0,9.256761074E-1,-2.413304806E0,-7.692352295E0,8.114998470E0
1.187616891E0,1.279008865E0,-2.110461473E0,-6.875995636E0,7.305424512E0
1.192634287E0,1.630706310E0,-1.725460410E0,-5.827095032E0,6.292173965E0
1.197651683E0,2.032572985E0,-1.297261596E0,-4.592903614E0,5.187388957E0
1.202669078E0,2.480337858E0,-7.501904964E-1,-2.928950787E0,3.910705100E0
1.207686474E0,3.895367622E0,4.720838070E-1,3.239377022E0,5.088252698E0
1.212703870E0,7.125866413E0,2.230441570E0,2.603889656E1,2.708831807E1
1.217721266E0,8.343421936E0,2.027452230E0,3.661278534E1,3.760610725E1
1.222738662E0,8.052042007E0,2.277268887E0,2.537475204E1,2.671889547E1
1.227756058E0,5.658125401E0,3.373821974E0,1.356805134E1,1.508274096E1
1.232773453E0,2.200627089E0,3.254100323E0,6.981849670E0,8.011126844E0
1.237790849E0,6.437803507E-1,2.827401161E0,2.631521225E0,3.915808272E0
1.242808245E0,-1.709290147E-1,2.619352341E0,1.520874977E0,3.033691499E0
1.247825641E0,-7.212480307E-1,2.378500462E0,2.362694740E0,3.429254963E0
1.252843037E0,-7.813093066E-1,1.921819925E0,3.532531738E0,4.096659193E0
1.257860433E0,-5.061587095E-1,1.343029499E0,4.546544075E0,4.767702581E0
1.262877828E0,1.283967495E-2,8.890075684E-1,5.136965752E0,5.213340239E0
1.267895224E0,6.434104443E-1,7.398660183E-1,5.390489578E0,5.478937545E0
1.272912620E0,1.141566873E0,8.557524681E-1,5.561303139E0,5.741391801E0
1.277930016E0,1.377036214E0,1.057986736E0,5.602244377E0,5.865211567E0
1.282947412E0,1.328305721E0,1.264063835E0,5.461553574E0,5.761147534E0
1.287964808E0,1.126300931E0,1.415732622E0,5.240584373E0,5.544057830E0
1.292982203E0,8.211021423E-1,1.503097773E0,4.997335434E0,5.282695626E0
1.297999599E0,5.302829146E-1,1.454030752E0,4.760964394E0,5.006214873E0
1.303017047E0,3.191161156E-1,1.253943920E0,4.483996391E0,4.666951263E0
1.308034495E0,1.812095642E-1,9.407546520E-1,4.147707939E0,4.256916416E0
1.313051943E0,1.344809532E-1,5.570788383E-1,3.766839027E0,3.810183489E0
1.318069391E0,1.061231792E-1,1.168413162E-1,3.313049316E0,3.316807169E0
1.323086839E0,4.228860140E-2,-3.755737543E-1,2.729351997E0,2.755395851E0
1.328104287E0,-7.293879986E-2,-9.298200607E-1,1.949198723E0,2.160847305E0
1.333121735E0,-3.131130934E-1,-1.402296185E0,1.035197258E0,1.770905916E0
1.338139183E0,-6.799637675E-1,-1.787708521E0,1.890182495E-3,1.912656805E0
1.343156631E0,-1.103555918E0,-2.104179621E0,-1.208103180E0,2.665505737E0
1.348174078E0,-1.557232022E0,-2.340521574E0,-2.489699364E0,3.755211809E0
1.353191526E0,-1.994398952E0,-2.513627052E0,-3.805164814E0,4.977471989E0
1.358208974E0,-2.386818171E0,-2.606661797E0,-5.083485126E0,6.191397882E0
1.363226422E0,-2.767983913E0,-2.650218010E0,-6.430906296E0,7.486116899E0
1.368243870E0,-3.085361481E0,-2.665070295E0,-7.824600220E0,8.823062039E0
1.373261318E0,-3.315033436E0,-2.642965794E0,-8.983736038E0,9.933892896E0
1.378278766E0,-3.389244080E0,-2.628800869E0,-9.929039001E0,1.081588577E1
1.383296214E0,-3.315648317E0,-2.600738525E0,-1.057118893E1,1.138013181E1
1.388313662E0,-3.105822563E0,-2.599652290E0,-1.094039917E1,1.166604731E1
1.393331110E0,-2.823852777E0,-2.628895521E0,-1.107135391E1,1.172433852E1
1.398348558E0,-2.471581459E0,-2.682689667E0,-1.100329590E1,1.159215508E1
1.403366006E0,-2.065600395E0,-2.760662556E0,-1.079903412E1,1.133609724E1
1.408383453E0,-1.632968426E0,-2.829333782E0,-1.048757172E1,1.098457446E1
1.413400901E0,-1.230265617E0,-2.836490393E0,-1.008324528E1,1.054661399E1
1.418418349E0,-8.142743111E-1,-2.811497927E0,-9.633621216E0,1.006847660E1
1.423435797E0,-4.094107151E-1,-2.707274199E0,-9.133405685E0,9.534990830E0
1.428453245E0,-4.040324688E-2,-2.524787426E0,-8.562778473E0,8.927337741E0
1.433470693E0,3.012962341E-1,-2.293630600E0,-7.968822479E0,8.297810100E0
1.438488141E0,6.238837838E-1,-2.033820629E0,-7.302821636E0,7.606369777E0
1.443505589E0,9.593067169E-1,-1.746163130E0,-6.568680286E0,6.864176262E0
1.448523037E0,1.324566126E0,-1.407595158E0,-5.621946812E0,5.944920984E0
1.453540485E0,1.714447021E0,-1.014324903E0,-4.399728775E0,4.829678757E0
1.458557933E0,2.057909489E0,-5.723253489E-1,-2.901449680E0,3.602909660E0
1.463575381E0,3.407206774E0,5.733439922E-1,5.645424843E0,6.618806765E0
1.468592828E0,7.014173508E0,1.927359343E0,3.175555229E1,3.257803624E1
1.473610276E0,8.395194054E0,2.173757076E0,3.470542145E1,3.577248637E1
1.478627724E0,6.351044655E0,3.154261827E0,1.482188225E1,1.643086514E1
1.483645172E0,2.996431828E0,3.463673592E0,6.376267433E0,7.850632129E0
1.488662620E0,-6.600332260E-2,2.622317076E0,3.372517586E0,4.272561076E0
1.493680068E0,-1.634855509E0,1.811455965E0,2.740736008E0,3.669572061E0
1.498697516E0,-2.198856592E0,1.430479288E0,3.601793289E0,4.455800288E0
1.503714964E0,-2.383265495E0,1.213602424E0,5.159830093E0,5.811766673E0
1.508732412E0,-2.010083914E0,9.704711437E-1,6.419436455E0,6.796426707E0
1.513749860E0,-8.235709667E-1,7.748390436E-1,6.864767075E0,6.957274730E0
1.518767308E0,3.194359541E-1,7.160278559E-1,6.793608665E0,6.838702649E0
1.523784756E0,8.016438484E-1,7.835954428E-1,6.412441254E0,6.509689509E0
1.528802203E0,8.766456842E-1,1.006110549E0,5.936960220E0,6.085085271E0
1.533819651E0,6.675460935E-1,1.168228388E0,5.410539627E0,5.575330879E0
1.538837099E0,4.308249950E-1,1.241556406E0,4.981711388E0,5.152137502E0
1.543854547E0,2.989531755E-1,1.235924244E0,4.660087585E0,4.830455262E0
1.548871995E0,2.468696237E-1,1.132092714E0,4.326184273E0,4.478665972E0
1.553889443E0,2.778348029E-1,9.107228518E-1,3.884620667E0,3.999610733E0
1.558906891E0,3.134839833E-1,5.952270031E-1,3.393238068E0,3.459282003E0
1.563924339E0,3.232611120E-1,2.235453129E-1,2.761502266E0,2.789330568E0
1.568941787E0,2.482891381E-1,-1.371151209E-1,2.018389702E0,2.038221048E0
