"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.971787660E-1,-5.898923278E-1,-6.506028771E-1,-9.607631683E0,9.647685921E0
8.021959010E-1,-1.707207263E-1,-4.286346436E-1,-9.567545891E0,9.578664186E0
8.072130360E-1,-1.395402253E-1,-3.936298788E-1,-9.556170464E0,9.565291939E0
8.122301720E-1,-9.286892414E-1,2.469394505E-1,7.748386383E0,7.807748353E0
8.172473070E-1,3.579255819E0,-1.490880966E0,4.821315002E1,4.836880848E1
8.222644430E-1,2.155990124E0,5.496938229E-1,-1.860218048E-1,2.232724977E0
8.272815780E-1,9.748311043E-1,2.942489684E-1,-1.103067207E1,1.107757214E1
8.322987130E-1,2.803220451E-1,-2.958303094E-1,-1.027408409E1,1.028216417E1
8.373158490E-1,8.273440599E-2,-4.410096705E-1,-9.618579865E0,9.629040093E0
8.423329840E-1,-2.999030828E0,2.986167431E0,5.760825157E0,7.148320665E0
8.473501200E-1,-2.424450159E0,1.162264585E0,4.126549721E0,4.925162956E0
8.523672550E-1,-6.133225560E-2,-2.709475756E-1,-8.028041840E0,8.032846943E0
8.573843910E-1,7.543206215E-3,-4.099481404E-1,-9.411676407E0,9.420603333E0
8.624015260E-1,-1.284910321E0,9.884479642E-2,3.525279045E0,3.753446040E0
8.674186610E-1,1.593408823E0,-5.136281252E-3,1.781478882E1,1.788590727E1
8.724357970E-1,5.273085833E-1,1.272774935E-1,-3.365178585E0,3.408618608E0
8.774529320E-1,3.171729445E-1,-3.955033720E-1,-7.167943478E0,7.185849657E0
8.824700680E-1,-4.141849279E-2,-4.250951111E-1,2.611456871E0,2.646153498E0
8.874872030E-1,9.324707389E-1,-4.674483538E-1,6.836255074E0,6.915373676E0
8.925043380E-1,-1.343318969E-1,1.440213621E-1,-5.671501160E-3,1.970263363E-1
8.975214740E-1,1.849400997E-1,-1.636593491E-1,-9.087371826E-1,9.416955400E-1
9.025386090E-1,-9.777902067E-2,1.924418807E-1,-1.624197006E0,1.638478114E0
9.075557450E-1,-5.431855321E-1,2.914839983E-2,-5.168113708E-1,7.503293574E-1
9.125728800E-1,-3.290197551E-1,5.382688642E-1,6.223382950E-1,8.861672093E-1
9.175900160E-1,1.671698093E-1,1.713543236E-1,-2.467995167E0,2.479578229E0
9.226071510E-1,-4.882028699E-1,-4.643821120E-1,-2.948361397E0,3.024372284E0
9.276242860E-1,-2.716554999E-1,-8.811123371E-1,-2.954792976E0,3.095312132E0
9.326414220E-1,-3.713526130E-1,-8.596183062E-1,-7.174512386E0,7.235362767E0
9.376585570E-1,-1.306413770E0,7.731292248E-1,1.785579300E1,1.792020618E1
9.426756930E-1,4.287032127E0,1.750312805E0,1.551454544E1,1.619084184E1
9.476928280E-1,1.074884534E0,6.689387560E-1,-6.632684708E0,6.752433802E0
9.527099630E-1,-2.827171981E-1,-4.662772715E-1,-9.345161438E0,9.361056875E0
9.577270990E-1,-2.035431623E0,-1.236142397E0,-9.184670448E0,9.488371892E0
9.627442340E-1,-1.638690948E0,-8.923475742E-1,-7.876540661E0,8.094534267E0
9.677613700E-1,-2.415070295E0,5.891407728E-1,1.866134262E1,1.882618814E1
9.727785050E-1,3.006887734E-1,-1.631398052E-1,2.223756790E0,2.249916131E0
9.777956410E-1,3.282965720E-2,-3.275998235E-1,-8.468690872E0,8.475088467E0
9.828127760E-1,1.680300385E-2,-1.284489483E-1,-9.764350891E0,9.765210177E0
9.878299110E-1,1.270390987E0,1.949651361E0,-3.952142715E0,4.586334673E0
9.928470470E-1,3.835921526E0,2.036895275E0,1.178094006E1,1.255602584E1
9.978641820E-1,5.549988747E-1,1.916009784E-1,2.496461868E-1,6.380108968E-1
1.002881318E0,-1.407528043E0,-7.861509919E-1,-3.906636238E0,4.226224707E0
1.007898453E0,-3.216856480E0,-1.610012054E0,2.812749863E0,4.566384370E0
1.012915588E0,-6.975818276E-1,-7.298420668E-1,3.540435791E0,3.681572414E0
1.017932724E0,-5.370175242E-1,-4.819220006E-1,-4.916124344E-1,8.731090549E-1
1.022949859E0,-5.356753469E-1,-4.017858505E-1,1.077095985E0,1.268272726E0
1.027966995E0,6.179324985E-1,-7.510688901E-2,7.589569092E0,7.615053553E0
1.032984130E0,1.516192913E0,-3.824117482E-1,4.572885513E0,4.832841981E0
1.038001266E0,1.857104421E0,3.385615945E-1,-7.543420792E-1,2.032853353E0
1.043018401E0,1.826037645E0,1.084821463E0,-6.003312588E0,6.367967738E0
1.048035536E0,4.492588639E-1,2.757142782E-1,-2.684988022E0,2.736240590E0
1.053052672E0,-1.429708719E0,-7.863486409E-1,4.417312622E0,4.709040455E0
1.058069807E0,-7.402338386E-1,-3.579433560E-1,4.152936935E-1,9.211614591E-1
1.063086943E0,-5.257916451E-1,4.196072221E-1,-4.318924427E0,4.370999346E0
1.068104078E0,-7.551158667E-1,7.570157051E-1,-6.135731220E0,6.228199608E0
1.073121213E0,-1.455047607E0,2.609504759E-1,-3.627847195E0,3.917465247E0
1.078138349E0,-6.138833761E-1,6.517106295E-2,1.267510414E0,1.409852019E0
1.083155484E0,4.706469476E-1,8.706945181E-2,5.373411179E-1,7.196006640E-1
1.088172620E0,3.702291250E-1,-1.591629833E-1,-9.854726791E-1,1.064687213E0
1.093189755E0,7.057799101E-1,-2.273098081E-1,2.137755394E0,2.262695993E0
1.098206891E0,9.023733735E-1,-2.370679826E-1,3.143713951E0,3.279240208E0
1.103224026E0,4.069091082E-1,-3.114858866E-1,2.752388954E0,2.799686310E0
1.108241161E0,1.668268889E-1,-2.696414590E-1,2.275871277E0,2.297852867E0
1.113258297E0,-3.719177246E-1,-1.043262631E-1,9.155216217E-1,9.936732878E-1
1.118275432E0,1.384493858E-1,1.889099777E-1,3.079137802E-1,3.868670419E-1
1.123292568E0,4.646404386E-1,3.227629066E-1,-1.092788696E0,1.230550188E0
1.128309703E0,-3.088707328E-1,2.514588833E-2,-1.654960632E0,1.683724485E0
1.133326838E0,-7.294077873E-1,-5.509170890E-2,-1.135897636E0,1.351049317E0
1.138343974E0,-4.792989194E-1,1.776387095E-1,-1.363958359E0,1.456593756E0
1.143361109E0,-3.501937985E-1,3.181563020E-1,-1.515625954E0,1.587759793E0
1.148378245E0,-2.465846688E-1,2.133762538E-1,-9.165296555E-1,9.728103792E-1
1.153395380E0,-1.322180331E-1,6.687507033E-2,-1.413192749E-1,2.047560030E-1
1.158412516E0,-2.761733532E-2,-8.588165045E-3,7.764701843E-1,7.770086363E-1
1.163429651E0,2.579330504E-1,-1.819199324E-2,9.663419724E-1,1.000338550E0
1.168446786E0,3.973341584E-1,-8.635662496E-2,7.209634781E-1,8.277199024E-1
1.173463922E0,2.378887832E-1,-1.799982786E-1,8.825807571E-1,9.316325705E-1
1.178481057E0,-1.641492546E-2,-1.712080985E-1,1.096791267E0,1.110194914E0
1.183498193E0,2.514240146E-2,-6.495264173E-2,8.326616287E-1,8.355694908E-1
1.188515328E0,1.991929114E-1,4.944401979E-2,1.768207550E-1,2.709023928E-1
1.193532463E0,-3.623411059E-2,8.801269531E-2,-2.581806183E-1,2.751660898E-1
1.198549599E0,-2.103877813E-1,6.097543240E-2,-3.531427383E-1,4.155608445E-1
1.203566734E0,-1.546998918E-1,2.065497637E-2,-5.676717758E-1,5.887358743E-1
1.208583870E0,-1.815960258E-1,8.098781109E-4,-9.016704559E-1,9.197757246E-1
1.213601005E0,-2.330195010E-1,2.085083723E-2,-8.050136566E-1,8.383196482E-1
1.218618141E0,-1.257093400E-1,3.742617369E-2,-3.642740250E-1,3.871680796E-1
1.223635276E0,-4.440811276E-2,3.531756997E-2,3.760337830E-2,6.806926830E-2
1.228652359E0,8.405178785E-3,3.315892816E-2,3.050899506E-1,3.070016930E-1
1.233669443E0,9.700545669E-2,1.997441053E-3,4.814405441E-1,4.911201950E-1
1.238686526E0,1.268928498E-1,-4.902920127E-2,5.381097794E-1,5.550385505E-1
1.243703609E0,1.029237434E-1,-8.199900389E-2,4.800338745E-1,4.977445673E-1
1.248720693E0,3.395497799E-2,-9.714163840E-2,4.029998779E-1,4.159306914E-1
1.253737776E0,4.613101482E-4,-3.693720698E-2,3.213577271E-1,3.234738920E-1
1.258754859E0,-7.733508945E-3,5.152434111E-2,1.059522629E-1,1.180696697E-1
1.263771943E0,-5.874939263E-2,1.067625582E-1,-8.049297333E-2,1.460440130E-1
1.268789026E0,-1.205077469E-1,1.004844904E-1,-2.428398132E-1,2.891200871E-1
1.273806109E0,-1.511447728E-1,7.107689977E-2,-3.715829849E-1,4.073948732E-1
1.278823193E0,-1.607311964E-1,3.764557838E-2,-4.093875885E-1,4.414180611E-1
1.283840276E0,-1.203363240E-1,9.710639715E-3,-3.324460983E-1,3.536884726E-1
1.288857359E0,-6.745265424E-2,2.521550655E-2,-1.169605255E-1,1.373515448E-1
1.293874443E0,1.816777885E-2,-9.788681567E-2,-6.914234161E-2,1.212128717E-1
1.298891526E0,3.991161287E-1,-8.825092316E-1,-5.760243416E0,5.841106097E0
1.303908609E0,4.233461618E-2,-4.897227883E-1,-9.210849762E0,9.223956525E0
1.308925693E0,-1.681629181E0,1.195914030E0,2.813220215E1,2.820778057E1
1.313942776E0,4.304087639E0,1.160378098E0,2.097693443E1,2.144535908E1
1.318959859E0,8.760464787E-1,9.119075537E-2,-6.494966507E0,6.554415543E0
1.323976943E0,-4.144899547E-2,-4.552477002E-1,-9.470497131E0,9.481523317E0
1.328994026E0,-2.996032238E0,-1.701527119E0,-1.055796719E1,1.110594772E1
1.334011109E0,-1.015822172E0,-8.727420568E-1,-9.984428406E0,1.007384653E1
1.339028193E0,-2.680397034E-2,-4.746959209E-1,-9.650580406E0,9.662285281E0
1.344045276E0,1.049722433E-1,-4.309757650E-1,-9.608739853E0,9.618972962E0
