"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.309524560E-1,-1.404169202E-2,-2.123786509E-2,3.410339355E-3,2.568747638E-2
7.359697480E-1,2.483278513E-4,-2.097873390E-2,-1.561450958E-2,2.615304671E-2
7.409870390E-1,-4.574760795E-3,-1.127631962E-2,-5.989074707E-3,1.356292138E-2
7.460043310E-1,-4.558518529E-3,-1.590120792E-2,-1.068878174E-2,1.969463276E-2
7.510216230E-1,-4.542410374E-3,-2.043600380E-2,-5.852699280E-3,2.173747530E-2
7.560389140E-1,4.970565438E-3,-3.443002701E-2,3.690719604E-3,3.498220536E-2
7.610562060E-1,9.655758739E-3,-3.416500986E-2,8.408546448E-3,3.648541118E-2
7.660734980E-1,9.604036808E-3,-2.905158699E-2,1.308631897E-2,3.327888180E-2
7.710907890E-1,5.576014519E-5,-3.352929652E-2,1.297760010E-2,3.595323266E-2
7.761080810E-1,4.832550883E-3,-2.847270668E-2,-6.124496460E-3,2.952216168E-2
7.811253730E-1,4.821941257E-3,-2.350883186E-2,8.172988892E-3,2.535180546E-2
7.861426640E-1,6.474554539E-5,-2.813297510E-2,1.285552979E-2,3.093110289E-2
7.911599560E-1,9.480118752E-5,-2.791947126E-2,1.749801636E-2,3.294975629E-2
7.961772480E-1,-9.372413158E-3,-2.770774066E-2,7.856369019E-3,3.028668941E-2
8.011945390E-1,2.323687077E-4,-3.224723041E-2,7.791519165E-3,3.317597979E-2
8.062118310E-1,5.059242249E-3,-2.245283127E-2,-1.769065857E-3,2.308365565E-2
8.112291230E-1,-9.198740125E-3,-2.703611553E-2,1.249217987E-2,3.117086654E-2
8.162464140E-1,3.539323807E-4,-2.678021789E-2,7.638931274E-3,2.785064827E-2
8.212637060E-1,9.877651930E-3,-1.703040302E-2,1.232337952E-2,2.322645727E-2
8.262809980E-1,3.280192614E-4,-1.211033762E-2,-2.024650574E-3,1.228279625E-2
8.312982890E-1,-4.393547773E-3,-2.152833343E-2,-2.006530762E-3,2.206351214E-2
8.363155810E-1,-4.274815321E-3,-3.081531823E-2,-6.737709045E-3,3.183166044E-2
8.413328730E-1,5.287483335E-3,-2.108344436E-2,2.816200256E-3,2.191803116E-2
8.463501640E-1,-4.224807024E-3,-1.143361628E-2,1.229095459E-2,1.731023224E-2
8.513674560E-1,-1.360537112E-2,-6.560191512E-3,7.440567017E-3,1.683758514E-2
8.563847480E-1,-8.712917566E-3,-1.602347195E-2,-2.117156982E-3,1.836161593E-2
8.614020390E-1,-3.964334726E-3,-1.111084223E-2,-2.100944519E-3,1.198251780E-2
8.664193310E-1,-8.754119277E-3,-2.048657835E-2,1.690864563E-2,2.796849645E-2
8.714366230E-1,-4.006981850E-3,-1.553866267E-2,1.676559448E-2,2.320756557E-2
8.764539140E-1,7.530301809E-4,-1.537953317E-2,7.127761841E-3,1.696767762E-2
8.814712060E-1,-3.971174359E-3,-1.522076130E-2,-1.667404175E-2,2.292303358E-2
8.864884980E-1,1.028554142E-2,-2.456128597E-2,-7.039070129E-3,2.754265127E-2
8.915057890E-1,5.429446697E-3,-1.488152146E-2,2.516746521E-3,1.603971900E-2
8.965230810E-1,5.362316966E-3,-1.947636902E-2,7.243156433E-3,2.146035202E-2
9.015403730E-1,5.295753479E-3,-2.878141403E-2,7.182121277E-3,3.013299960E-2
9.065576640E-1,5.319118500E-4,-2.851288021E-2,1.661968231E-2,3.300728871E-2
9.115749560E-1,5.306527019E-3,-1.879923046E-2,1.173400879E-2,2.278721697E-2
9.165922480E-1,5.240425467E-3,-1.861292124E-2,1.638412476E-2,2.534447553E-2
9.216095390E-1,5.226433277E-3,-2.797672153E-2,-2.745628357E-3,2.859284923E-2
9.266268310E-1,-9.084507823E-3,-1.346844435E-2,-2.723693848E-3,1.647257672E-2
9.316441230E-1,-9.030684829E-3,-8.629620075E-3,6.795883179E-3,1.421997325E-2
9.366614140E-1,5.216628313E-3,-1.802507043E-2,-2.759933472E-3,1.896664461E-2
9.416787060E-1,4.018843174E-4,-1.784618199E-2,-2.737998962E-3,1.805946735E-2
9.466959980E-1,5.126029253E-3,-1.771841943E-2,-2.715110779E-3,1.864377616E-2
9.517132890E-1,5.061432719E-3,-8.044123650E-3,1.155185699E-2,1.495899149E-2
9.567305810E-1,2.488791943E-4,-1.744444668E-2,6.706237793E-3,1.869075403E-2
9.617478730E-1,2.258121967E-4,-1.257151365E-2,1.901626587E-3,1.271652981E-2
9.667651640E-1,4.950538278E-3,-1.723717153E-2,6.634712219E-3,1.912190675E-2
9.717824560E-1,1.904666424E-4,-1.706388593E-2,-2.917289734E-3,1.731251166E-2
9.767997480E-1,-4.530832171E-3,-2.699062228E-3,-2.892494202E-3,6.014972966E-3
9.818170390E-1,5.033597350E-3,-1.689243317E-2,-2.868652344E-3,1.785834726E-2
9.868343310E-1,2.737045288E-4,-1.197254658E-2,-1.234149933E-2,1.719678433E-2
9.918515710E-1,9.748294950E-3,-2.133823931E-2,2.005577087E-3,2.354510673E-2
9.968688100E-1,-4.548773170E-3,-2.593083680E-2,6.738662720E-3,2.717552593E-2
1.001886050E0,-1.402887702E-2,-1.149019599E-2,-2.814292908E-3,1.835086480E-2
1.006903289E0,3.632009029E-4,-1.141636074E-2,6.707191467E-3,1.324581537E-2
1.011920529E0,-4.358664155E-3,-1.129157841E-2,6.650924683E-3,1.381059359E-2
1.016937768E0,9.953707457E-3,-6.418377161E-3,-2.901077271E-3,1.219377328E-2
1.021955008E0,-1.384031773E-2,-2.537889779E-2,-7.624626160E-3,2.989611633E-2
1.026972248E0,5.298689008E-3,-1.569232345E-2,-1.230907440E-2,2.063585310E-2
1.031989487E0,4.326105118E-4,-1.078340411E-2,2.103137970E-2,2.363869472E-2
1.037006727E0,-4.392072558E-3,-1.541145146E-2,6.608963013E-3,1.733440306E-2
1.042023966E0,9.868144989E-3,-1.525337994E-2,1.804351807E-3,1.825654870E-2
1.047041206E0,2.670288086E-4,-1.984512806E-2,1.128578186E-2,2.283132244E-2
1.052058446E0,-9.201660752E-3,-1.484909654E-2,1.693725586E-3,1.755092405E-2
1.057075685E0,4.016906023E-4,-1.464416087E-2,6.426811218E-3,1.599739683E-2
1.062092925E0,4.271566868E-4,-1.444189250E-2,1.112079620E-2,1.823246638E-2
1.067110164E0,-4.243686795E-3,-1.424033940E-2,-3.217697144E-3,1.520360874E-2
1.072127404E0,-4.229351878E-3,-2.358806133E-2,1.556396484E-3,2.401471267E-2
1.077144643E0,9.978815913E-3,-1.861239970E-2,6.290435791E-3,2.203560237E-2
1.082161883E0,9.874626994E-3,-1.362663507E-2,6.236076355E-3,1.794664565E-2
1.087179123E0,1.931816339E-2,-1.353596151E-2,6.184577942E-3,2.438570678E-2
1.092196362E0,4.941344261E-3,-1.339352131E-2,-3.363609314E-3,1.466687301E-2
1.097213602E0,-9.315669537E-3,-3.703698516E-3,1.090908051E-2,1.481577265E-2
1.102230841E0,-9.208366275E-3,-8.443251252E-3,1.321792603E-3,1.256302658E-2
1.107248081E0,-9.050399065E-3,-8.394807577E-3,1.080989838E-2,1.640842529E-2
1.112265321E0,-4.196807742E-3,-8.295208216E-3,-8.274078369E-3,1.244524196E-2
1.117282560E0,5.364850163E-3,-1.769344509E-2,1.292228699E-3,1.853400851E-2
1.122299800E0,5.246698856E-3,-1.746480167E-2,6.027221680E-3,1.920610703E-2
1.127317039E0,3.810375929E-4,-1.254113019E-2,1.072406769E-2,1.650547678E-2
1.132334279E0,-9.191721678E-3,-1.710295677E-2,5.883216858E-3,2.028820146E-2
1.137351518E0,-4.336103797E-3,-2.632766962E-3,1.533031464E-2,1.614781115E-2
1.142368758E0,5.227565765E-3,-1.682572067E-2,9.574890137E-4,1.764508728E-2
1.147385998E0,5.316793919E-3,-1.665586233E-2,1.044845581E-2,2.036802092E-2
1.152403289E0,1.005151868E-2,-2.128651738E-2,5.614280701E-3,2.420059912E-2
1.157420581E0,1.004898548E-2,-1.638254523E-2,-8.676528931E-3,2.108677433E-2
1.162437873E0,1.474343240E-2,-6.770938635E-3,8.935928345E-4,1.624847430E-2
1.167455164E0,3.523379564E-4,-2.567984164E-2,-8.611679077E-3,2.708762494E-2
1.172472456E0,5.023613572E-3,-6.443142891E-3,-8.542060852E-3,1.182021942E-2
1.177489748E0,4.959017038E-3,-1.110927761E-2,1.052188873E-2,1.608471453E-2
1.182507039E0,1.971870661E-4,-1.104052365E-2,-3.809928894E-3,1.168107886E-2
1.187524331E0,1.728236675E-4,-1.525938511E-3,9.708404541E-4,1.816834485E-3
1.192541623E0,9.698048234E-3,-6.283625960E-3,9.641647339E-4,1.159593499E-2
1.197558914E0,4.898414016E-3,-1.575018466E-2,-3.791809082E-3,1.692455591E-2
1.202576206E0,9.687319398E-3,-2.038934827E-2,9.899139404E-4,2.259534486E-2
1.207593498E0,4.940167069E-3,-5.994886160E-3,5.731582642E-3,9.653753173E-3
1.212610789E0,-4.567489028E-3,-1.066283882E-2,1.043224335E-2,1.560095474E-2
1.217628081E0,-9.248256683E-3,-2.473828197E-2,5.596160889E-3,2.699684913E-2
1.222645373E0,5.103990436E-3,-1.020543277E-2,-1.344585419E-2,1.763498146E-2
1.227662664E0,2.902299166E-4,-5.343198776E-3,5.659103394E-3,7.788418183E-3
1.232679956E0,5.014419556E-3,-2.895997465E-2,1.035881042E-2,3.116295057E-2
1.237697248E0,9.749978781E-3,-1.989603043E-4,1.027202606E-2,1.416390451E-2
1.242714539E0,-4.495546222E-3,-4.916161299E-3,6.904602051E-4,6.697410921E-3
1.247731831E0,-4.429236054E-3,-9.801983833E-5,6.847381592E-4,4.482923852E-3
1.252749123E0,3.342926502E-4,-4.867613316E-3,-4.069328308E-3,6.353333286E-3
1.257766414E0,9.858176112E-3,-4.848957062E-3,7.143020630E-4,1.100937093E-2
1.262783706E0,3.095418215E-4,-2.944469452E-5,1.020526886E-2,1.021000468E-2
1.267800998E0,5.085974932E-3,-9.444028139E-3,1.011943817E-2,1.474651950E-2
1.272818289E0,2.732127905E-4,-9.335681796E-3,-4.211425781E-3,1.024527730E-2
1.277835581E0,-9.195551276E-3,-4.478767514E-3,5.320549011E-3,1.152934358E-2
1.282852873E0,5.053132772E-3,2.851337194E-4,-8.970260620E-3,1.029956444E-2
1.287870164E0,-4.507869482E-3,-9.184598923E-3,-8.896827698E-3,1.355843972E-2
1.292887456E0,-9.189128876E-3,-9.078413248E-3,-4.074096680E-3,1.354459082E-2
1.297904748E0,-4.334390163E-3,-1.847010851E-2,5.456924438E-3,1.974107066E-2
1.302922039E0,-9.121030569E-3,-4.042014480E-3,6.608963013E-4,9.998393052E-3
1.307939331E0,9.926259518E-3,-3.979653120E-3,6.542205811E-4,1.071430220E-2
1.312956623E0,3.230124712E-4,5.578219891E-3,-4.100799561E-3,6.930904071E-3
1.317973914E0,-4.501625896E-3,-1.338106394E-2,6.790161133E-4,1.413430475E-2
1.322991206E0,-4.485160112E-3,-1.793588698E-2,5.419731140E-3,1.926619289E-2
1.328008498E0,4.975780845E-3,-8.259788156E-3,1.012134552E-2,1.397941810E-2
1.333025789E0,4.911601543E-3,-1.296232641E-2,5.288124084E-3,1.483610434E-2
1.338043081E0,-4.648223519E-3,-1.762472093E-2,5.244255066E-3,1.896678626E-2
1.343060373E0,-9.379044175E-3,-1.744724810E-2,9.947776794E-3,2.216599195E-2
1.348077664E0,4.974290729E-3,-3.026708961E-3,3.681182861E-4,5.834384840E-3
1.353094956E0,4.910960793E-3,-1.726889610E-2,-1.388072968E-2,2.269376489E-2
1.358112248E0,-4.648849368E-3,-7.649913430E-3,-4.267692566E-3,9.916964040E-3
1.363129539E0,4.864186049E-3,-1.235753298E-2,-8.980751038E-3,1.603193115E-2
1.368146831E0,5.327165127E-5,-2.727910876E-3,5.903244019E-4,2.791562021E-3
1.373164123E0,3.260374069E-5,-1.217062771E-2,1.008129120E-2,1.580372343E-2
1.378181414E0,4.810497165E-3,-2.490982413E-3,5.248069763E-3,7.542420871E-3
1.383198706E0,-4.697740078E-3,2.306953073E-3,4.558563232E-4,5.253436904E-3
1.388215998E0,-4.629731178E-3,7.013350725E-3,4.529953003E-4,8.415860260E-3
1.393233289E0,-4.510730505E-3,-1.201041043E-2,-4.298210144E-3,1.353038280E-2
1.398250581E0,9.802863002E-3,-1.657664776E-2,4.854202271E-4,1.926439739E-2
1.403267873E0,9.750038385E-3,-1.171289384E-2,-4.265785217E-3,1.582567705E-2
1.408285164E0,9.595349431E-3,-6.888702512E-3,5.168914795E-4,1.182337218E-2
1.413302456E0,-5.504488945E-5,-2.053141594E-3,5.259513855E-3,5.646317945E-3
1.418319748E0,-9.573474526E-3,-6.806463003E-3,4.673004150E-4,1.175575275E-2
1.423337039E0,-4.818648100E-3,-1.621709764E-2,-9.035110474E-3,1.917933384E-2
1.428354331E0,-3.129243851E-7,-1.135537028E-2,-4.210472107E-3,1.211084265E-2
1.433371623E0,-2.218782902E-5,-1.785650849E-3,-1.367282867E-2,1.378895519E-2
1.438388914E0,-1.428939402E-2,-1.689568162E-3,6.847381592E-4,1.440521740E-2
1.443406206E0,-9.443700314E-3,-1.109129190E-2,-8.819580078E-3,1.702895254E-2
1.448423498E0,1.616775990E-4,-6.220728159E-3,7.505416870E-4,6.267927193E-3
