"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.553757380E-1,8.615863323E-1,-8.285883904E0,1.934724426E1,2.106452144E1
6.603930810E-1,4.857858181E0,-7.406466961E0,3.823529816E1,3.924783515E1
6.654104250E-1,1.030423927E1,-7.431101799E0,4.777843475E1,4.943862304E1
6.704277690E-1,1.403525829E1,-8.374513626E0,5.541347504E1,5.777347289E1
6.754451130E-1,1.278429127E1,-7.775090694E0,5.640592957E1,5.835682504E1
6.804624560E-1,8.194064140E0,-6.888350010E0,4.900994873E1,5.016539771E1
6.854798000E-1,6.605249405E0,-6.885070324E0,4.403725433E1,4.505899780E1
6.904971440E-1,4.720770836E0,-7.758252144E0,4.341062164E1,4.435040276E1
6.955144880E-1,2.955260515E0,-8.816332817E0,4.332995224E1,4.431643093E1
7.005318310E-1,2.562484503E0,-8.391236305E0,4.002411270E1,4.097448927E1
7.055491750E-1,3.811002731E0,-5.978614330E0,3.498949814E1,3.570059595E1
7.105665190E-1,4.517286301E0,-3.251941919E0,2.786122894E1,2.841177714E1
7.155838630E-1,3.845541239E0,-1.826742768E0,2.331546021E1,2.370096751E1
7.206012060E-1,2.653708935E0,-1.632861614E0,2.234446907E1,2.256066724E1
7.256185500E-1,1.781310201E0,-1.877862453E0,2.252001572E1,2.266827169E1
7.306358940E-1,1.560923338E0,-2.037374020E0,2.187635422E1,2.202639890E1
7.356532380E-1,1.826508284E0,-2.215299606E0,2.021018219E1,2.041311218E1
7.406705810E-1,1.014518380E0,-2.864968538E0,1.711265945E1,1.738046046E1
7.456879250E-1,-1.326549649E-1,-3.734412193E0,1.134768200E1,1.194710503E1
7.507052690E-1,-9.147282839E-1,-4.693020821E0,5.199906349E0,7.064007241E0
7.557226130E-1,-1.717020273E0,-5.040427208E0,-6.377792358E-1,5.362912214E0
7.607399560E-1,-2.620233536E0,-4.944450855E0,-5.717849255E0,8.000438622E0
7.657573000E-1,-3.001360178E0,-4.523674965E0,-9.707941055E0,1.112276574E1
7.707746440E-1,-2.943511486E0,-4.095887184E0,-1.332308102E1,1.424587798E1
7.757919880E-1,-2.869933605E0,-3.591609478E0,-1.715313721E1,1.775855550E1
7.808093310E-1,-2.717847109E0,-3.042287588E0,-2.053926468E1,2.094047755E1
7.858266750E-1,-2.469174385E0,-2.317711830E0,-2.364123154E1,2.388255512E1
7.908440190E-1,-2.270884275E0,-1.751901507E0,-2.623127365E1,2.638760678E1
7.958613630E-1,-2.072517633E0,-1.487891436E0,-2.825383759E1,2.836879427E1
8.008787060E-1,-2.090353012E0,-1.138790965E0,-2.998782730E1,3.008215762E1
8.058960500E-1,-2.277058363E0,-6.679928303E-1,-3.148667908E1,3.157597455E1
8.109134460E-1,-2.528414965E0,-1.010565758E-1,-3.328185272E1,3.337790909E1
8.159308420E-1,-2.961992979E0,1.930229664E-1,-3.546895599E1,3.559294171E1
8.209482380E-1,-3.577309608E0,1.478028297E-1,-3.786609268E1,3.803498343E1
8.259656340E-1,-4.087707520E0,4.656529427E-2,-4.021502304E1,4.042226613E1
8.309830290E-1,-4.286624908E0,1.073503494E-2,-4.229171753E1,4.250840670E1
8.360004250E-1,-4.304848671E0,-1.540656090E-1,-4.348512650E1,4.369795973E1
8.410178210E-1,-4.367274284E0,-5.998773575E-1,-4.290718842E1,4.313304714E1
8.460352170E-1,-4.847782612E0,-1.366441727E0,-3.996140289E1,4.027756051E1
8.510526130E-1,-5.500127792E0,-2.314992905E0,-3.517920685E1,3.568174873E1
8.560700090E-1,-5.763004303E0,-3.189386368E0,-2.947813988E1,3.020505148E1
8.610874040E-1,-5.511809349E0,-3.959007740E0,-2.383203125E1,2.477941682E1
8.661048000E-1,-6.047293663E0,-5.833662510E0,-2.078041458E1,2.241488365E1
8.711221960E-1,-5.560199261E0,-7.516509056E0,-1.103244019E1,1.446127452E1
8.761395920E-1,-1.897024512E-1,-7.511539459E0,1.004608536E1,1.254523986E1
8.811569880E-1,4.763695717E0,-7.889428616E0,2.693889809E1,2.847174232E1
8.861743840E-1,6.900672436E0,-5.955236912E0,3.292890549E1,3.416719104E1
8.911917790E-1,5.424489975E-1,-4.271940231E0,3.284952545E1,3.313057571E1
8.962091750E-1,-3.950320482E-1,-4.982298851E0,3.836036682E1,3.868458472E1
9.012265710E-1,-8.318366408E-1,-6.820885658E0,4.302891541E1,4.357412069E1
9.062439670E-1,-7.128894925E-1,-7.079281807E0,4.785036087E1,4.837645582E1
9.112613630E-1,2.133200407E0,-7.002213001E0,5.497869492E1,5.546384791E1
9.162787590E-1,4.900132179E0,-7.600296021E0,5.930883789E1,5.999428345E1
9.212961540E-1,6.894663811E0,-8.632968903E0,5.631072235E1,5.738433578E1
9.263135500E-1,6.566380501E0,-9.189183235E0,4.762136841E1,4.894234537E1
9.313309460E-1,6.151690960E0,-8.275330544E0,4.066010666E1,4.194721291E1
9.363483420E-1,6.368455887E0,-6.193957329E0,3.638216400E1,3.745109071E1
9.413657380E-1,6.370703220E0,-4.408133030E0,3.307350159E1,3.396872096E1
9.463831340E-1,5.786091805E0,-3.505693197E0,3.019885254E1,3.094736560E1
9.514005290E-1,4.395689964E0,-3.321898699E0,2.652555466E1,2.709173584E1
9.564179250E-1,2.981215477E0,-4.139022827E0,2.192762184E1,2.251310186E1
9.614353210E-1,1.719371796E0,-5.761900425E0,1.584891319E1,1.695121781E1
9.664526650E-1,5.314475894E-1,-7.251738548E0,9.388241768E0,1.187473082E1
9.714700090E-1,-4.523204267E-1,-8.173197746E0,3.274024963E0,8.816178006E0
9.764873520E-1,-1.258954406E0,-8.318014145E0,-2.622933388E0,8.812156664E0
9.815046960E-1,-2.098387957E0,-7.775992870E0,-7.935068130E0,1.130639657E1
9.865220400E-1,-2.815292835E0,-6.834678650E0,-1.276451778E1,1.475030916E1
9.915393840E-1,-3.046788692E0,-5.706201553E0,-1.725659752E1,1.842915667E1
9.965567270E-1,-2.713667393E0,-4.392437935E0,-2.164749527E1,2.225469733E1
1.001574071E0,-1.978899002E0,-3.440217495E0,-2.560912704E1,2.591483216E1
1.006591415E0,-1.287623405E0,-2.759371758E0,-2.918729973E1,2.934570790E1
1.011608759E0,-1.160793304E0,-2.513075829E0,-3.259564590E1,3.271298096E1
1.016626102E0,-7.390293479E-1,-1.511105776E0,-3.640167618E1,3.644052186E1
1.021643446E0,-6.397429109E-1,-2.820003033E-1,-3.980438614E1,3.981052563E1
1.026660790E0,-9.365980625E-1,9.484910965E-2,-4.233312607E1,4.234359190E1
1.031678134E0,-1.685661554E0,-5.566380024E-1,-4.429158401E1,4.432714423E1
1.036695477E0,-1.862685204E0,-7.914590836E-1,-4.620727539E1,4.625157622E1
1.041712821E0,-1.979074240E0,-5.675127506E-1,-4.756893921E1,4.761347271E1
1.046730165E0,-2.434695244E0,-3.781180382E-1,-4.810001755E1,4.816308132E1
1.051747509E0,-2.958770752E0,-6.163315773E-1,-4.731317902E1,4.740960976E1
1.056764852E0,-3.315798759E0,-1.393359780E0,-4.526603317E1,4.540869666E1
1.061782196E0,-3.235554695E0,-2.873642206E0,-4.220653915E1,4.242780434E1
1.066799540E0,-3.711190939E0,-4.347808838E0,-3.791772461E1,3.834618911E1
1.071816884E0,-4.666683197E0,-5.520404339E0,-3.229253387E1,3.309169896E1
1.076834227E0,-5.943367958E0,-6.529262543E0,-2.627681732E1,2.772049820E1
1.081851571E0,-7.851150513E0,-8.003289223E0,-1.907838440E1,2.212866815E1
1.086868915E0,-6.175816536E0,-8.089182854E0,-1.484940529E0,1.028497144E1
1.091886259E0,-6.054567099E-1,-7.643328667E0,2.421105003E1,2.539610196E1
1.096903602E0,3.073985100E0,-8.033267975E0,3.892884064E1,3.986774902E1
1.101920946E0,-2.233197927E0,-5.844472885E0,3.923900986E1,3.973468171E1
