"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.538167900E-1,-6.657897611E-4,-1.065263641E-3,-1.065263641E-3,1.647072936E-3
3.563253310E-1,3.994738800E-4,-1.065263641E-3,-1.065263641E-3,1.558573909E-3
3.588338730E-1,3.994738800E-4,-1.065263641E-3,-1.065263641E-3,1.558573909E-3
3.613424150E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
3.638509560E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
3.663594980E-1,3.994738800E-4,2.130527282E-3,0.000000000E0,2.167654465E-3
3.688680400E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
3.713765810E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
3.738851230E-1,-1.731053460E-3,-0.000000000E0,-1.065263641E-3,2.032568008E-3
3.763936650E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
3.789022060E-1,-1.731053460E-3,-1.065263641E-3,-1.065263641E-3,2.294802678E-3
3.814107480E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
3.839192900E-1,-6.657897611E-4,1.065263641E-3,2.130527282E-3,2.473299240E-3
3.864278310E-1,-6.657897611E-4,2.130527282E-3,1.065263641E-3,2.473299240E-3
3.889363730E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
3.914449150E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
3.939534560E-1,3.994738800E-4,-0.000000000E0,2.130527282E-3,2.167654465E-3
3.964619980E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
3.989705400E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
4.014790810E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
4.039876230E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
4.064961650E-1,3.994738800E-4,-0.000000000E0,-2.130527282E-3,2.167654465E-3
4.090047060E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
4.115132480E-1,-6.657897611E-4,-1.065263641E-3,2.130527282E-3,2.473299240E-3
4.140217900E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
4.165303310E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
4.190388730E-1,1.464737463E-3,-0.000000000E0,1.065263641E-3,1.811143964E-3
4.215474150E-1,3.994738800E-4,-0.000000000E0,2.130527282E-3,2.167654465E-3
4.240559560E-1,1.464737463E-3,1.065263641E-3,1.065263641E-3,2.101197060E-3
4.265644980E-1,3.994738800E-4,2.130527282E-3,2.130527282E-3,3.039386843E-3
4.290730400E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
4.315815810E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
4.340901230E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
4.365986650E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
4.391072060E-1,3.994738800E-4,2.130527282E-3,0.000000000E0,2.167654465E-3
4.416157480E-1,3.994738800E-4,2.130527282E-3,2.130527282E-3,3.039386843E-3
4.441242900E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
4.466328310E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
4.491413730E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
4.516499150E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
4.541585080E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
4.566671020E-1,-6.657897611E-4,-0.000000000E0,2.130527282E-3,2.232134070E-3
4.591756960E-1,3.994738800E-4,-0.000000000E0,3.195791040E-3,3.220661384E-3
4.616842900E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
4.641928830E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
4.667014770E-1,-6.657897611E-4,-2.130527282E-3,1.065263641E-3,2.473299240E-3
4.692100710E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
4.717186650E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
4.742272580E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
4.767358520E-1,3.994738800E-4,-1.065263641E-3,1.065263641E-3,1.558573909E-3
4.792444460E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
4.817530400E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
4.842616330E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
4.867702270E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
4.892788210E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
4.917874150E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
4.942960080E-1,-1.731053460E-3,-0.000000000E0,0.000000000E0,1.731053460E-3
4.968046020E-1,-6.657897611E-4,1.065263641E-3,-1.065263641E-3,1.647072936E-3
4.993131960E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
5.018217900E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
5.043303830E-1,3.994738800E-4,1.065263641E-3,-2.130527282E-3,2.415266550E-3
5.068389770E-1,-6.657897611E-4,-0.000000000E0,-2.130527282E-3,2.232134070E-3
5.093475710E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
5.118561650E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
5.143647580E-1,3.994738800E-4,-0.000000000E0,-2.130527282E-3,2.167654465E-3
5.168733520E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
5.193819460E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
5.218905400E-1,-1.731053460E-3,-0.000000000E0,0.000000000E0,1.731053460E-3
5.243991330E-1,-1.731053460E-3,-1.065263641E-3,0.000000000E0,2.032568008E-3
5.269077270E-1,-1.731053460E-3,-1.065263641E-3,0.000000000E0,2.032568008E-3
5.294163210E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
5.319249150E-1,-6.657897611E-4,1.065263641E-3,1.065263641E-3,1.647072936E-3
5.344335080E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
5.369421020E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
5.394506960E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
5.419592900E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
5.444678830E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
5.469764770E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
5.494850710E-1,-6.657897611E-4,1.065263641E-3,1.065263641E-3,1.647072936E-3
5.519936650E-1,1.464737463E-3,-0.000000000E0,0.000000000E0,1.464737463E-3
5.545022580E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
